id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
1,-121.7827596,39.86675335,-121.7802596,39.86425335,1,0,0,0,0,0,3392.223308,2668.605414,2001.999398,3339.179699,0
2,-121.7827596,39.86425335,-121.7802596,39.86175335,1,0,0,0,0,0,3569.539058,2935.716717,2415.261398,3704.458967,0
3,-121.7827596,39.86175335,-121.7802596,39.85925335,1,0,0,0,0,0,3567.596049,2964.952432,2700.365502,3401.13465,1
4,-121.7827596,39.85925335,-121.7802596,39.85675335,1,0,0,0,0,0,3321.671581,2573.048784,1991.311854,3053.650912,0
5,-121.7827596,39.85675335,-121.7802596,39.85425335,1,0,0,0,0,0,3567.596049,2964.952432,2700.365502,3401.13465,1
6,-121.7827596,39.85425335,-121.7802596,39.85175335,1,0,0,0,0,0,3882.964438,3415.430091,3040.08997,4429.706231,0
7,-121.7827596,39.85175335,-121.7802596,39.84925335,1,0,0,0,0,0,3705.462918,3159.689514,2827.794073,3808.441793,0
8,-121.7827596,39.84925335,-121.7802596,39.84675335,1,0,0,0,0,0,3882.964438,3415.430091,3040.08997,4429.706231,0
9,-121.7827596,39.84675335,-121.7802596,39.84425335,1,0,0,0,0,0,3947.496657,3476.159119,3252.546201,3746.273556,0
10,-121.7827596,39.84425335,-121.7802596,39.84175335,0,0,0,0,0,0,3629.997264,2983.028116,2555.127964,3033.162918,0
11,-121.7827596,39.84175335,-121.7802596,39.83925335,0,0,0,0,0,0,3947.496657,3476.159119,3252.546201,3746.273556,0
12,-121.7827596,39.83925335,-121.7802596,39.83675335,0,0,0,0,0,0,3683.676748,3030.039362,2578.118389,3333.770517,0
13,-121.7827596,39.83675335,-121.7802596,39.83425335,0,0,0,0,0,0,3460.502857,2672.416692,2087.381955,2747.517744,0
14,-121.7827596,39.83425335,-121.7802596,39.83175335,1,0,0,0,0,0,3683.676748,3030.039362,2578.118389,3333.770517,0
15,-121.7827596,39.83175335,-121.7802596,39.82925335,1,0,0,0,0,0,3605.833891,2914.673708,2406.510334,3159.191793,0
16,-121.7827596,39.82925335,-121.7802596,39.82675335,2,0,0,0,0,0,4122.537082,3738.559726,3780.621277,4190.021884,1
17,-121.7827596,39.82675335,-121.7802596,39.82425335,2,0,0,0,0,0,3975.312006,3496.141793,3400.295593,3896.930547,1
18,-121.7827596,39.82425335,-121.7802596,39.82175335,1,0,0,0,0,0,4122.537082,3738.559726,3780.621277,4190.021884,1
19,-121.7827596,39.82175335,-121.7802596,39.81925335,1,0,0,0,0,0,3476.396657,2678.374924,2167.007143,2537.76307,0
20,-121.7827596,39.81925335,-121.7802596,39.81675335,1,0,0,0,0,0,3725.815198,3072.635866,2782.391033,3237.836018,0
21,-121.7827596,39.81675335,-121.7802596,39.81425335,1,0,0,0,0,0,3476.396657,2678.374924,2167.007143,2537.76307,0
22,-121.7827596,39.81425335,-121.7802596,39.81175335,1,0,0,0,0,0,4185.500912,3704.099696,3620.611094,3696.699544,0
23,-121.7827596,39.81175335,-121.7802596,39.80925335,1,0,0,0,0,0,4242.989173,3873.597143,3863.984962,4099.689474,1
24,-121.7827596,39.80925335,-121.7802596,39.80675335,0,0,0,0,0,0,4185.500912,3704.099696,3620.611094,3696.699544,0
25,-121.7827596,39.80675335,-121.7802596,39.80425335,0,0,0,0,0,0,3732.15076,3041.351064,2725.744529,3061.214742,0
26,-121.7827596,39.80425335,-121.7802596,39.80175335,1,0,0,0,0,0,4112.561398,3664.198328,3617.159574,4066.900152,1
27,-121.7827596,39.80175335,-121.7802596,39.79925335,1,0,0,0,0,0,3732.15076,3041.351064,2725.744529,3061.214742,0
28,-121.7827596,39.79925335,-121.7802596,39.79675335,1,0,0,0,0,0,3797.605015,3152.620669,2886.604255,3277.205015,0
29,-121.7827596,39.79675335,-121.7802596,39.79425335,1,0,0,0,0,0,3757.38997,3078.055623,2719.515046,3232.769301,0
30,-121.7827596,39.79425335,-121.7802596,39.79175335,1,0,0,0,0,0,3797.605015,3152.620669,2886.604255,3277.205015,0
31,-121.7827596,39.79175335,-121.7802596,39.78925335,1,0,0,0,0,0,3869.249173,3250.22782,3046.576241,3263.313835,1
32,-121.7827596,39.78925335,-121.7802596,39.78675335,1,0,0,0,0,0,3813.205319,3157.36003,2904.525684,3081.466565,0
33,-121.7827596,39.78675335,-121.7802596,39.78425335,1,0,0,0,0,0,3869.249173,3250.22782,3046.576241,3263.313835,1
34,-121.7827596,39.78425335,-121.7802596,39.78175335,1,0,0,0,0,0,3876.116413,3261.877052,3038.315198,3365.495289,0
35,-121.7827596,39.78175335,-121.7802596,39.77925335,1,0,0,0,0,0,3881.761398,3259.315198,3030.978267,3401.557143,0
36,-121.7827596,39.77925335,-121.7802596,39.77675335,1,0,0,0,0,0,3876.116413,3261.877052,3038.315198,3365.495289,0
37,-121.7827596,39.77675335,-121.7802596,39.77425335,1,0,0,0,0,0,4285.145897,3970.391185,3937.457903,3685.793465,1
38,-121.7827596,39.77425335,-121.7802596,39.77175335,1,0,0,0,0,0,4134.191185,3718.344073,3596.960182,3957.228267,0
39,-121.7827596,39.77175335,-121.7802596,39.76925335,0,0,0,0,0,0,4285.145897,3970.391185,3937.457903,3685.793465,1
40,-121.7827596,39.76925335,-121.7802596,39.76675335,0,0,0,0,0,0,4123.933891,3773.157903,3434.78769,4691.054863,0
41,-121.7827596,39.76675335,-121.7802596,39.76425335,1,0,0,0,0,0,3958.314438,3387.754103,2946.96459,3724.320973,0
42,-121.7827596,39.76425335,-121.7802596,39.76175335,1,0,0,0,0,0,3619.585113,2909.153684,2287.223308,3479.691429,0
43,-121.7827596,39.76175335,-121.7802596,39.75925335,1,0,0,0,0,0,3958.314438,3387.754103,2946.96459,3724.320973,0
44,-121.7827596,39.75925335,-121.7802596,39.75675335,1,0,0,0,0,0,4055.56535,3479.251824,2965.334195,3771.020365,0
45,-121.7827596,39.75675335,-121.7802596,39.75425335,1,0,0,0,0,0,3597.470061,2986.894529,2211.019301,4152.614134,0
46,-121.7827596,39.75425335,-121.7802596,39.75175335,1,0,0,0,0,0,4055.56535,3479.251824,2965.334195,3771.020365,0
47,-121.7827596,39.75175335,-121.7802596,39.74925335,1,0,0,0,0,0,3888.157295,3254.901064,2623.606535,3504.352584,0
48,-121.7827596,39.74925335,-121.7802596,39.74675335,1,0,0,0,0,0,4069.948784,3489.803191,2952.98541,3589.080547,0
49,-121.7827596,39.74675335,-121.7802596,39.74425335,1,0,0,0,0,0,3888.157295,3254.901064,2623.606535,3504.352584,0
50,-121.7827596,39.74425335,-121.7802596,39.74175335,1,0,0,0,0,0,4211.517594,3734.060902,3638.829624,3361.215489,0
51,-121.7827596,39.74175335,-121.7802596,39.73925335,1,0,0,0,0,0,4294.158055,3740.737386,3442.429179,3298.97538,0
52,-121.7827596,39.73925335,-121.7802596,39.73675335,1,0,0,0,0,0,4211.517594,3734.060902,3638.829624,3361.215489,0
53,-121.7827596,39.73675335,-121.7802596,39.73425335,1,0,0,0,0,0,3858.528267,3223.51307,2699.608967,3707.345289,0
54,-121.7827596,39.73425335,-121.7802596,39.73175335,1,0,0,0,0,0,4503.248024,4209.317173,4269.869909,3852.183739,0
55,-121.7827596,39.73175335,-121.7802596,39.72925335,1,0,0,0,0,0,3858.528267,3223.51307,2699.608967,3707.345289,0
56,-121.7827596,39.72925335,-121.7802596,39.72675335,1,0,0,0,0,0,4523.973252,4246.613526,4215.077052,3897.712766,0
57,-121.7827596,39.72675335,-121.7802596,39.72425335,1,0,0,0,0,0,4171.833587,3623.266869,3154.769453,3473.205167,0
58,-121.7827596,39.72425335,-121.7802596,39.72175335,1,0,0,0,0,0,4523.973252,4246.613526,4215.077052,3897.712766,0
59,-121.7827596,39.72175335,-121.7802596,39.71925335,1,0,0,0,0,0,4481.185562,4131.452584,4200.420669,3736.422796,0
60,-121.7827596,39.71925335,-121.7802596,39.71675335,1,0,0,0,0,0,4542.754559,4193.575228,4212.514286,3675.393769,0
61,-121.7827596,39.71675335,-121.7802596,39.71425335,1,0,0,0,0,0,4481.185562,4131.452584,4200.420669,3736.422796,0
62,-121.7827596,39.71425335,-121.7802596,39.71175335,1,0,0,0,0,0,3654.546049,3097.848632,2651.231003,4043.080243,0
63,-121.7827596,39.71175335,-121.7802596,39.70925335,1,0,0,0,0,0,4165.555015,3700.665046,3612.945593,3616.974772,1
64,-121.7827596,39.70925335,-121.7802596,39.70675335,1,0,0,0,0,0,3654.546049,3097.848632,2651.231003,4043.080243,0
65,-121.7827596,39.70675335,-121.7802596,39.70425335,1,0,0,0,0,0,3800.341641,3321.01003,2911.819605,4004.862462,0
66,-121.7827596,39.70425335,-121.7802596,39.70175335,1,0,0,0,0,0,4805.681611,4444.265957,4093.865198,3490.031003,0
67,-121.7827596,39.70175335,-121.7802596,39.69925335,1,0,0,0,0,0,4127.715805,3734.500456,3455.556839,3614.06003,0
68,-121.7827596,39.69925335,-121.7802596,39.69675335,1,0,0,0,0,0,4805.681611,4444.265957,4093.865198,3490.031003,0
69,-121.7827596,39.69675335,-121.7802596,39.69425335,1,0,0,0,0,0,3788.842707,3348.652632,3002.810226,3882.950677,0
70,-121.7827596,39.69425335,-121.7802596,39.69175335,1,0,0,0,0,0,4000.851672,3506.627508,3173.895745,3677.693617,0
71,-121.7827596,39.69175335,-121.7802596,39.68925335,1,0,0,0,0,0,3788.842707,3348.652632,3002.810226,3882.950677,0
72,-121.7827596,39.68925335,-121.7802596,39.68675335,1,0,0,0,0,0,3830.237842,3385.98769,2971.157295,3877.096201,0
73,-121.7827596,39.68675335,-121.7802596,39.68425335,1,0,0,0,0,0,3964.082827,3630.67386,3359.594681,4012.118237,0
74,-121.7827596,39.68425335,-121.7802596,39.68175335,1,0,0,0,0,0,3830.237842,3385.98769,2971.157295,3877.096201,0
