id,band1_norm,band2_norm,band3_norm,band4_norm
1,0.49296813,0.387809793,0.290936595,0.485259672
2,0.51873619,0.426627214,0.350993076,0.538343158
3,0.518453826,0.430875836,0.392425265,0.494263153
4,0.48271534,0.373923216,0.289383449,0.443765767
5,0.518453826,0.430875836,0.392425265,0.494263153
6,0.564284112,0.49634061,0.44179505,0.64373828
7,0.538489055,0.459175617,0.41094357,0.553454256
8,0.564284112,0.49634061,0.44179505,0.64373828
9,0.573662129,0.505165935,0.472669831,0.544419781
10,0.527522159,0.433502649,0.371318908,0.44078839
11,0.573662129,0.505165935,0.472669831,0.544419781
12,0.535323023,0.440334466,0.374659946,0.484473594
13,0.50289072,0.38836366,0.303344646,0.399277571
14,0.535323023,0.440334466,0.374659946,0.484473594
15,0.524010664,0.423569181,0.349721345,0.459103287
16,0.599099532,0.543298783,0.549411295,0.608906627
17,0.577704339,0.508069878,0.494141219,0.566313709
18,0.599099532,0.543298783,0.549411295,0.608906627
19,0.505200455,0.389229528,0.314916019,0.368795389
20,0.54144671,0.446524718,0.404345463,0.470532103
21,0.505200455,0.389229528,0.314916019,0.368795389
22,0.608249626,0.538290948,0.526158132,0.537215535
23,0.616603993,0.562922828,0.561525957,0.595779248
24,0.608249626,0.538290948,0.526158132,0.537215535
25,0.542367413,0.441978316,0.396113422,0.444864966
26,0.597649835,0.532492361,0.525656547,0.591014205
27,0.542367413,0.441978316,0.396113422,0.444864966
28,0.551879423,0.458148351,0.419490043,0.476253324
29,0.546035251,0.447312334,0.395208135,0.469795792
30,0.551879423,0.458148351,0.419490043,0.476253324
31,0.562290968,0.472332917,0.442737655,0.474234616
32,0.554146506,0.458837089,0.422094439,0.447808022
33,0.562290968,0.472332917,0.442737655,0.474234616
34,0.563288936,0.474025818,0.441537135,0.489083933
35,0.564109283,0.473653522,0.44047091,0.494324551
36,0.563288936,0.474025818,0.441537135,0.489083933
37,0.622730335,0.576989231,0.572203267,0.535630631
38,0.600793141,0.540360984,0.52272111,0.575076356
39,0.622730335,0.576989231,0.572203267,0.535630631
40,0.59930252,0.548326695,0.499153714,0.681718252
41,0.575234201,0.492318652,0.428261789,0.541229565
42,0.526009034,0.422766994,0.332386195,0.505679261
43,0.575234201,0.492318652,0.428261789,0.541229565
44,0.589366997,0.505615376,0.430931315,0.548016061
45,0.522795207,0.434064528,0.321311998,0.60347042
46,0.589366997,0.505615376,0.430931315,0.548016061
47,0.565038754,0.473012047,0.38127042,0.509263095
48,0.591457242,0.507148733,0.429136753,0.521576018
49,0.565038754,0.473012047,0.38127042,0.509263095
50,0.612030448,0.542645001,0.528805704,0.48846198
51,0.62404001,0.543615248,0.500264199,0.479417059
52,0.612030448,0.542645001,0.528805704,0.48846198
53,0.560732974,0.468450649,0.392315323,0.538762607
54,0.654425595,0.611710677,0.620510383,0.559810968
55,0.560732974,0.468450649,0.392315323,0.538762607
56,0.657437448,0.617130695,0.612547719,0.566427384
57,0.606263449,0.526544077,0.458460619,0.504736658
58,0.657437448,0.617130695,0.612547719,0.566427384
59,0.651219411,0.600395159,0.61041781,0.542988238
60,0.660166804,0.60942301,0.612175291,0.534119316
61,0.651219411,0.600395159,0.61041781,0.542988238
62,0.531089662,0.450188713,0.385284892,0.587552624
63,0.605351028,0.537791814,0.525044158,0.525629691
64,0.531089662,0.450188713,0.385284892,0.587552624
65,0.552277118,0.482619201,0.423154414,0.581998701
66,0.698376157,0.645854143,0.594932847,0.507181839
67,0.599852119,0.542708878,0.50217195,0.525206112
68,0.698376157,0.645854143,0.594932847,0.507181839
69,0.550606058,0.486636308,0.436377445,0.564282112
70,0.581415841,0.509593693,0.461240109,0.534453537
71,0.550606058,0.486636308,0.436377445,0.564282112
72,0.556621724,0.492061951,0.431777546,0.563431322
73,0.576072481,0.527620484,0.488226439,0.583053132
74,0.556621724,0.492061951,0.431777546,0.563431322
75,0.552238424,0.495863915,0.407289182,0.533311271
76,0.54073677,0.470433645,0.393923528,0.517093951
77,0.552238424,0.495863915,0.407289182,0.533311271
78,0.561526751,0.50072201,0.444658554,0.559142239
79,0.551340491,0.487319937,0.418741232,0.540872375
80,0.561526751,0.50072201,0.444658554,0.559142239
81,0.593511089,0.535706186,0.480472948,0.63007436
82,0.625237158,0.596541692,0.592204396,0.671460302
83,0.593511089,0.535706186,0.480472948,0.63007436
84,0.531641249,0.446409652,0.338481714,0.5875314
85,0.547531637,0.467602718,0.386967613,0.537018709
86,0.531641249,0.446409652,0.338481714,0.5875314
87,0.548804428,0.476157031,0.386445841,0.562344381
88,0.576022833,0.5016341,0.427420616,0.573600643
89,0.548804428,0.476157031,0.386445841,0.562344381
90,0.552502457,0.478912471,0.391585947,0.568184334
91,0.592084958,0.546055526,0.514870553,0.600373825
92,0.553431089,0.480515132,0.404847137,0.549623095
93,0.592084958,0.546055526,0.514870553,0.600373825
94,0.585123411,0.536547005,0.468766318,0.61431176
95,0.517593836,0.446820643,0.339218246,0.639185142
96,0.585123411,0.536547005,0.468766318,0.61431176
97,0.561153881,0.496942861,0.394673024,0.670191619
98,0.583396253,0.520462729,0.452557214,0.630214648
99,0.561153881,0.496942861,0.394673024,0.670191619
100,0.582511771,0.513560592,0.457523793,0.548629488
101,0.603098808,0.519940519,0.475728362,0.43705854
102,0.582511771,0.513560592,0.457523793,0.548629488
103,0.587330487,0.512201932,0.444252688,0.509773293
