,id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
0,1,-121.78275959999999,39.86675335,-121.7802596,39.86425335,1,0,0,0,0,0,3392.2233079999996,2668.605414,2001.9993980000002,3339.179699,0
1,2,-121.78275959999999,39.86425335,-121.7802596,39.86175335,1,0,0,0,0,0,3569.539058,2935.7167170000002,2415.261398,3704.458967,0
2,3,-121.78275959999999,39.86175335,-121.7802596,39.85925335,1,0,0,0,0,0,3567.596049,2964.952432,2700.365502,3401.13465,1
3,4,-121.78275959999999,39.85925335,-121.7802596,39.85675335,1,0,0,0,0,0,3321.671581,2573.048784,1991.3118539999998,3053.650912,0
4,5,-121.78275959999999,39.85675335,-121.7802596,39.85425335,1,0,0,0,0,0,3567.596049,2964.952432,2700.365502,3401.13465,1
5,6,-121.78275959999999,39.85425335,-121.7802596,39.85175335,1,0,0,0,0,0,3882.9644380000004,3415.4300909999997,3040.08997,4429.706231,0
6,7,-121.78275959999999,39.85175335,-121.7802596,39.84925335,1,0,0,0,0,0,3705.462918,3159.689514,2827.794073,3808.441793,0
7,8,-121.78275959999999,39.84925335,-121.7802596,39.84675335,1,0,0,0,0,0,3882.9644380000004,3415.4300909999997,3040.08997,4429.706231,0
8,9,-121.78275959999999,39.84675335,-121.7802596,39.84425335,1,0,0,0,0,0,3947.496657,3476.159119,3252.546201,3746.273556,0
9,10,-121.78275959999999,39.84425335,-121.7802596,39.84175335,0,0,0,0,0,0,3629.997264,2983.028116,2555.1279640000002,3033.162918,0
10,11,-121.78275959999999,39.84175335,-121.7802596,39.83925335,0,0,0,0,0,0,3947.496657,3476.159119,3252.546201,3746.273556,0
11,12,-121.78275959999999,39.83925335,-121.7802596,39.83675335,0,0,0,0,0,0,3683.676748,3030.039362,2578.118389,3333.7705170000004,0
12,13,-121.78275959999999,39.83675335,-121.7802596,39.83425335,0,0,0,0,0,0,3460.502857,2672.4166920000002,2087.3819550000003,2747.517744,0
13,14,-121.78275959999999,39.83425335,-121.7802596,39.83175335,1,0,0,0,0,0,3683.676748,3030.039362,2578.118389,3333.7705170000004,0
14,15,-121.78275959999999,39.83175335,-121.7802596,39.82925335,1,0,0,0,0,0,3605.8338909999998,2914.673708,2406.510334,3159.191793,0
15,16,-121.78275959999999,39.82925335,-121.7802596,39.82675335,2,0,0,0,0,0,4122.537082,3738.559726,3780.621277,4190.021884000001,1
16,17,-121.78275959999999,39.82675335,-121.7802596,39.82425335,2,0,0,0,0,0,3975.312006,3496.141793,3400.295593,3896.930547,1
